SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_DATE;REAL_AMOUNT;TAXES_AMOUNT;BUSINESS_UNIT;SUB_UNIT;MONEY_RELEASE_DATE
132550297538;available_money;SETTLEMENT;101264.86;2025-11-05T05:23:00.000-03:00;-38963.65;2025-11-05T05:23:11.000-03:00;62301.21;0.00;Mercado Libre; ;2025-12-03T05:23:00.000-03:00
132336703734; ;DISPUTE;-37561.67;2025-11-05T06:23:25.000-03:00;11869.83;2025-11-05T06:23:25.000-03:00;0.00;563.43;Mercado Libre; ;
131960539201;available_money;SETTLEMENT;76809.40;2025-11-05T07:48:29.000-03:00;-23131.09;2025-11-05T07:48:35.000-03:00;52526.17;-1152.14;Mercado Libre; ;2025-12-03T07:48:30.000-03:00
131970715607;available_money;SETTLEMENT;38735.01;2025-11-05T09:32:42.000-03:00;-9580.74;2025-11-05T09:33:11.000-03:00;29154.27;0.00;Mercado Libre; ;2025-12-03T09:32:43.000-03:00
132571706924;credit_card;SETTLEMENT;143463.00;2025-11-05T09:43:02.000-03:00;-28918.27;2025-11-05T09:43:11.000-03:00;114544.73;0.00;Mercado Libre; ;2025-12-03T09:43:04.000-03:00
132576528170;available_money;SETTLEMENT_SHIPPING;6620.99;2025-11-05T10:19:54.000-03:00;0.00;2025-11-05T10:20:01.000-03:00;6521.68;-99.31;Mercado Libre; ;2025-12-03T10:19:54.000-03:00
132576516222;available_money;SETTLEMENT;20385.55;2025-11-05T10:19:53.000-03:00;-5581.75;2025-11-05T10:20:02.000-03:00;7877.03;-305.78;Mercado Libre; ;2025-12-03T10:19:54.000-03:00
132538357798; ;DISPUTE;-11000.00;2025-11-05T10:24:35.000-03:00;2885.83;2025-11-05T10:24:35.000-03:00;0.00;770.00;Mercado Libre; ;
132579168248;available_money;SETTLEMENT;24354.20;2025-11-05T10:40:02.000-03:00;-6220.64;2025-11-05T10:40:13.000-03:00;17768.25;-365.31;Mercado Libre; ;2025-12-03T10:40:03.000-03:00
131979880117;debit_card;SETTLEMENT;30670.19;2025-11-05T10:42:12.000-03:00;-12536.63;2025-11-05T10:42:20.000-03:00;18133.56;0.00;Mercado Libre; ;2025-12-03T10:42:14.000-03:00
132579787372;available_money;SETTLEMENT;12177.10;2025-11-05T10:45:45.000-03:00;-3075.32;2025-11-05T10:45:52.000-03:00;8919.12;-182.66;Mercado Libre; ;2025-12-03T10:45:46.000-03:00
132579745646;available_money;SETTLEMENT_SHIPPING;1540.80;2025-11-05T10:45:47.000-03:00;0.00;2025-11-05T10:45:54.000-03:00;1517.69;-23.11;Mercado Libre; ;2025-12-03T10:45:47.000-03:00
132584369010;available_money;SETTLEMENT;15833.33;2025-11-05T11:21:49.000-03:00;-4848.92;2025-11-05T11:21:55.000-03:00;10746.91;-237.50;Mercado Libre; ;2025-12-03T11:21:49.000-03:00
131984663885;available_money;SETTLEMENT;14345.34;2025-11-05T11:21:47.000-03:00;-3424.37;2025-11-05T11:21:55.000-03:00;10705.79;-215.18;Mercado Libre; ;2025-12-03T11:21:48.000-03:00
132584474368;available_money;SETTLEMENT;9124.25;2025-11-05T11:21:48.000-03:00;-2583.86;2025-11-05T11:21:58.000-03:00;6403.53;-136.86;Mercado Libre; ;2025-12-03T11:21:49.000-03:00
131986618839;available_money;SETTLEMENT;10135.38;2025-11-05T11:35:26.000-03:00;-2746.64;2025-11-05T11:35:36.000-03:00;7236.71;-152.03;Mercado Libre; ;2025-12-03T11:35:27.000-03:00
